  323	 1059	 9148	  147	  604	 8703	 9544	 8612	
 9243	 8565	 2655	  346	  437	   85	 8769	   23	
 8273	 8727	  436	 8529	 9219	 8784	 1556	  327	
  727	 1547	 9021	 8544	 1012	 8439	 8352	 8330	
  905	 8739	   27	 8527	 8807	 8600	  397	 8250	
 8534	  559	   44	  231	  456	   56	 8523	 8480	
 8332	 8193	  151	 8667	  743	 9036	 9131	   72	
 9066	  457	  579	  289	 8264	  745	  535	  385	
 8743	 8361	  368	  500	 8584	 1034	 8515	 8272	
 8702	 9090	  333	  658	 9691	   51	 1430	  185	
  633	 8876	  367	  132	 8320	  612	 8643	 8901	
  181	 1143	 9379	 8316	  327	  650	   46	 8693	
 9013	 8737	  952	  246	 8518	  632	  485	 8230	
 8230	  946	 9182	 8697	  485	  440	 9803	 8247	
 1261	 9134	 8370	 8203	 8241	 9069	 8337	   39	
 1114	 8210	 8244	 8398	 1111	 8926	 9392	 8530	
  262	 8978	 8592	 8213	 8522	 9374	 8375	  548	
 9292	   77	 8876	  212	 8545	 1513	  716	  197	
 8234	  177	    7	 8558	 1023	 8234	 9955	 8888	
 8310	 8246	  208	   52	  273	  782	 9386	 8457	
 8372	 8921	  544	   98	 9259	 8240	 1282	 8271	
 1145	 8244	 8901	 8465	  449	 8607	 9997	 8441	
  229	 8623	 8575	 8286	  199	 8206	 9341	  255	
  814	  346	 9652	 8940	   73	  293	 9297	 8537	
 8296	 8332	  155	  465	  769	  694	 8917	   67	
 9074	 9134	  350	  602	 8502	  778	   98	 8296	
 9944	 8239	  922	  462	    4	  564	 1032	 8274	
 9462	 1052	  824	  306	 8605	 1313	  663	 8513	
  576	 8335	 9806	 8604	 8272	 8648	  290	  409	
 8674	  501	 1118	 8530	 8541	 9376	 1025	  239	
 8846	  971	 1119	 8475	  484	  826	 8257	 8537	
  551	  997	  128	  254	  872	 8478	 8566	 8235	
  959	  173	10043	 8620	 8358	 9582	 1002	  705	
 9341	 1120	  984	 8225	 8296	  375	  264	 8583	
 8388	 8803	 8626	 8283	 9460	  139	 1276	  306	
  482	  846	  105	 8373	  269	 8245	 8607	 8298	
 8853	  239	  770	 8571	 8465	  541	 8365	 8585	
 8938	  465	 1269	  362	  973	  144	 8238	 8383	
  663	   35	 9817	 8461	 9341	  233	 1426	  443	
  115	 1142	  223	  122	  562	 8842	 9152	  111	
 8993	 8866	 8418	 8329	 9012	 1027	  543	   17	
  228	 9123	 8893	  386	 9576	 8661	 1046	  197	
 9363	 8622	 1971	  842	  526	 8225	 8427	 8357	
 9397	  224	 1989	  356	  772	 1073	 9475	 8688	
